Wall time,Step,Value
1713224138.2485447,511,0.1941000074148178
1713224257.3610365,1023,0.2840999960899353
1713224373.3799853,1535,0.47909998893737793
1713224495.1023505,2047,0.6448000073432922
1713224611.8471603,2559,0.7135999798774719
1713224726.1115375,3071,0.754800021648407
1713224847.9761367,3583,0.7807999849319458
1713224969.4155128,4095,0.7991999983787537
1713225089.8276153,4607,0.808899998664856
1713225211.0806615,5119,0.819599986076355
1713225333.0374687,5631,0.8263999819755554
1713225454.43444,6143,0.8300999999046326
1713225575.5773354,6655,0.8334000110626221
1713225697.8873692,7167,0.8346999883651733
1713225819.3208184,7679,0.8371000289916992
1713225934.6799457,8191,0.8378000259399414
1713226048.414199,8703,0.8406000137329102
1713226159.5538967,9215,0.8438000082969666
1713226278.96543,9727,0.8449000120162964
1713226397.4866416,10239,0.8492000102996826
1713226519.6629143,10751,0.8507999777793884
1713226642.3376083,11263,0.8508999943733215
1713226760.8463001,11775,0.8531000018119812
1713226880.9700155,12287,0.8535000085830688
1713227001.7630827,12799,0.8537999987602234
1713227123.0266585,13311,0.8543999791145325
1713227243.2651074,13823,0.8543999791145325
1713227365.5954423,14335,0.8557000160217285
1713227487.7696073,14847,0.8557000160217285
1713227610.455275,15359,0.8560000061988831
1713227732.632555,15871,0.8579999804496765
1713227855.4339206,16383,0.8600999712944031
1713227982.1813052,16895,0.8600999712944031
1713228104.3173406,17407,0.8600999712944031
1713228228.5681086,17919,0.8616999983787537
1713228353.5844133,18431,0.8626999855041504
1713228476.0021272,18943,0.8640000224113464
1713228598.0275164,19455,0.8650000095367432
1713228720.1137924,19967,0.8675000071525574
1713228839.8921812,20479,0.867900013923645
1713228962.7084625,20991,0.8701000213623047
1713229085.0848682,21503,0.8707000017166138
1713229208.1085238,22015,0.8707000017166138
1713229329.909455,22527,0.8707000017166138
1713229451.88845,23039,0.8712000250816345
1713229572.970077,23551,0.8712000250816345
1713229693.5352907,24063,0.8712000250816345
1713229807.0966716,24575,0.8712000250816345
1713229921.7164304,25087,0.871399998664856
1713230034.4973521,25599,0.8730999827384949
1713230145.8086467,26111,0.8733999729156494
1713230260.218791,26623,0.8734999895095825
1713230371.5021412,27135,0.8738999962806702
1713230485.9567597,27647,0.8755999803543091
1713230599.9137757,28159,0.8766999840736389
1713230713.0321755,28671,0.8770999908447266
1713230826.2037892,29183,0.8772000074386597
1713230941.1431074,29695,0.8772000074386597
1713231058.2758958,30207,0.8772000074386597
1713231178.4777422,30719,0.8772000074386597
1713231292.1543336,31231,0.8772000074386597
1713231406.0092006,31743,0.8772000074386597
1713231519.952216,32255,0.878600001335144
1713231634.3386047,32767,0.878600001335144
1713231748.7566717,33279,0.878600001335144
1713231870.5950024,33791,0.878600001335144
1713231992.257476,34303,0.8792999982833862
1713232106.5660226,34815,0.8792999982833862
1713232219.180923,35327,0.8792999982833862
1713232331.1376855,35839,0.8801000118255615
1713235594.0488062,36351,0.8801000118255615
1713235704.6232765,36863,0.8801000118255615
1713235815.003174,37375,0.8801000118255615
1713235928.929005,37887,0.8801000118255615
1713236039.699273,38399,0.8819000124931335
1713236150.4159775,38911,0.8819000124931335
1713236260.8191178,39423,0.8819000124931335
1713236370.938435,39935,0.8819000124931335
1713236481.1291046,40447,0.8819000124931335
1713236591.47356,40959,0.8819000124931335
1713236701.7733684,41471,0.8838000297546387
1713236812.496756,41983,0.8840000033378601
1713236923.0241768,42495,0.8840000033378601
1713237033.6009514,43007,0.8840000033378601
1713237143.9627807,43519,0.8840000033378601
1713237254.6772826,44031,0.8840000033378601
1713237365.0170927,44543,0.8840000033378601
