Wall time,Step,Value
1713215694.4592402,511,0.26173946261405945
1713215807.6871095,1023,0.42512425780296326
1713215921.143238,1535,0.5505664348602295
1713216034.6660118,2047,0.644079327583313
1713216152.5229082,2559,0.7146806120872498
1713216271.5512106,3071,0.7658929228782654
1713216386.3898118,3583,0.8040571212768555
1713216503.0188422,4095,0.8320491909980774
1713216620.5923827,4607,0.8524765968322754
1713216735.452749,5119,0.8671796917915344
1713216850.047149,5631,0.8789872527122498
1713216964.8786936,6143,0.8873270153999329
1713217256.3208604,6655,0.8936024904251099
1713217379.5434418,7167,0.8989723324775696
1713217501.5052872,7679,0.9013057351112366
1713217622.4592655,8191,0.905710756778717
1713217736.8302667,8703,0.907769501209259
1713217850.9713428,9215,0.9100291132926941
1713217964.9664912,9727,0.9105125069618225
1713218078.6698122,10239,0.9133132696151733
1713218191.139009,10751,0.9148052930831909
1713218305.6237903,11263,0.915515124797821
1713218415.889329,11775,0.9177094101905823
1713218529.097616,12287,0.9188030958175659
1713218645.5403378,12799,0.9199280142784119
1713218759.0663176,13311,0.9215878844261169
1713218872.2263885,13823,0.9210004806518555
1713218987.1980646,14335,0.9231274127960205
1713219112.4484978,14847,0.9262343645095825
1713219237.417436,15359,0.925565779209137
1713219360.69968,15871,0.9256486296653748
1713219483.9985425,16383,0.9267635345458984
1713219608.503491,16895,0.9284043312072754
1713219732.2543292,17407,0.9272956252098083
1713219857.1258442,17919,0.9317360520362854
1713219981.982038,18431,0.9297785758972168
1713220108.0514636,18943,0.9313389658927917
1713238250.5102863,18943,0.9313405156135559
1713238362.3692236,19455,0.9317191243171692
1713238473.8558664,19967,0.933089017868042
1713238586.1878982,20479,0.9364144802093506
1713238698.4677045,20991,0.9367859363555908
1713238810.0890262,21503,0.9353427290916443
1713238927.6014893,22015,0.9340061545372009
1713239046.5470648,22527,0.9390457272529602
1713239166.3140156,23039,0.9385579228401184
1713239285.829621,23551,0.9377435445785522
1713239405.2847571,24063,0.939919114112854
1713239524.8693724,24575,0.9399552941322327
1713239644.111333,25087,0.9418443441390991
1713239762.6614497,25599,0.9391555190086365
1713239881.1926758,26111,0.9426409006118774
1713239999.8693857,26623,0.943018913269043
1713240118.6481462,27135,0.9423086047172546
1713240237.337332,27647,0.9435065388679504
1713240356.0704098,28159,0.9459367990493774
1713240474.6258483,28671,0.9448734521865845
1713240593.4766507,29183,0.947878360748291
1713240711.9306874,29695,0.9462580680847168
1713240830.5199914,30207,0.9498955011367798
1713240949.2895813,30719,0.9474767446517944
1713241068.0967724,31231,0.9507532715797424
1713241186.9679103,31743,0.9552431106567383
1713241305.7910924,32255,0.9528414011001587
1713241424.9595978,32767,0.9504247307777405
1713241543.884054,33279,0.9519877433776855
1713241662.7052422,33791,0.9554609656333923
1713241781.3635612,34303,0.9535060524940491
1713241899.9068568,34815,0.9559957981109619
1713242018.7351372,35327,0.9535916447639465
1713242137.2869318,35839,0.9540095329284668
1713242255.8438168,36351,0.9572288393974304
1713242374.650759,36863,0.9614149332046509
1713242493.450183,37375,0.9575652480125427
1713242612.6437643,37887,0.9578090310096741
1713242731.7624063,38399,0.9595905542373657
1713242850.831334,38911,0.9600895643234253
1713242969.6330838,39423,0.9602255821228027
1713243088.4182057,39935,0.9629620313644409
1713243207.2314808,40447,0.9661375284194946
1713243326.0237453,40959,0.9661144018173218
1713243442.485565,41471,0.9638805985450745
1713243552.9865623,41983,0.9657909274101257
1713243663.6171496,42495,0.9678952693939209
1713243791.7462692,43007,0.9690099954605103
1713243902.9067066,43519,0.9705498218536377
1713244014.3552318,44031,0.9717836976051331
1713244125.265295,44543,0.9730288982391357
