Wall time,Step,Value
1713156758.1739926,511,0.18140000104904175
1713156868.7909296,1023,0.3037000000476837
1713156982.5252368,1535,0.5493999719619751
1713157096.063756,2047,0.6729999780654907
1713157206.7363684,2559,0.7348999977111816
1713157318.6450617,3071,0.7670999765396118
1713157433.1977906,3583,0.791100025177002
1713157548.644145,4095,0.8097000122070312
1713157666.471811,4607,0.8228999972343445
1713158363.3139977,4607,0.8230000138282776
1713158475.2435982,5119,0.8317999839782715
1713158591.8719988,5631,0.8413000106811523
1713158710.1161053,6143,0.8478000164031982
1713158828.2591507,6655,0.8511999845504761
1713158947.5625088,7167,0.8557000160217285
1713159065.5914211,7679,0.8596000075340271
1713159177.4670951,8191,0.864300012588501
1713159287.653749,8703,0.8662999868392944
1713159397.9740422,9215,0.8709999918937683
1713159508.2103243,9727,0.8723000288009644
1713159619.5747983,10239,0.8744999766349792
1713159730.1004636,10751,0.8752999901771545
1713159840.2290719,11263,0.8774999976158142
1713159950.1601536,11775,0.8794999718666077
1713160060.0240552,12287,0.8805000185966492
1713160170.2506633,12799,0.8834999799728394
1713160280.5152102,13311,0.8852999806404114
1713160392.0229387,13823,0.8852999806404114
1713160510.242502,14335,0.8863999843597412
1713160628.5963397,14847,0.8885999917984009
1713160746.1698453,15359,0.8899999856948853
1713160864.684156,15871,0.8899999856948853
1713160982.8715148,16383,0.8912000060081482
1713161101.222318,16895,0.8931999802589417
1713161219.239513,17407,0.8962000012397766
1713161337.5898607,17919,0.8967000246047974
1713161454.5004442,18431,0.8967000246047974
1713161566.9197562,18943,0.8995000123977661
1713161677.8143826,19455,0.8995000123977661
1713161788.036612,19967,0.9009000062942505
1713161898.3877568,20479,0.9017999768257141
1713162010.1514401,20991,0.9024999737739563
1713162120.4547539,21503,0.902999997138977
1713162231.1990342,22015,0.902999997138977
1713162341.4011767,22527,0.9049000144004822
1713162451.681666,23039,0.9075000286102295
1713162562.2170124,23551,0.9078999757766724
1713162672.7122831,24063,0.909600019454956
1713162783.2575064,24575,0.9099000096321106
1713162900.1121504,25087,0.9122999906539917
1713163012.3989496,25599,0.9142000079154968
1713163123.1496692,26111,0.9142000079154968
1713163237.8983364,26623,0.9142000079154968
1713163351.0556602,27135,0.9142000079154968
1713163469.2433777,27647,0.9142000079154968
1713163584.8555534,28159,0.9142000079154968
1713163697.7957487,28671,0.9143000245094299
1713163809.334221,29183,0.9168999791145325
1713163920.0812368,29695,0.9180999994277954
1713164030.66503,30207,0.9182000160217285
1713164141.0147367,30719,0.9182000160217285
1713164256.1879156,31231,0.9182000160217285
1713164441.643169,31231,0.9182000160217285
1713164552.4157872,31743,0.9182000160217285
1713164663.050958,32255,0.9193000197410583
1713164779.6475308,32767,0.920799970626831
1713164897.9889297,33279,0.9225000143051147
1713165016.465952,33791,0.92330002784729
1713165134.4178472,34303,0.9246000051498413
1713165252.0331151,34815,0.9246000051498413
1713165369.5880573,35327,0.9254999756813049
1713165487.1618752,35839,0.926800012588501
1713165604.7627394,36351,0.9277999997138977
1713165722.2549756,36863,0.9279000163078308
1713165839.7614315,37375,0.9290000200271606
1713165957.1586025,37887,0.9290000200271606
1713166074.8298297,38399,0.9297000169754028
1713166192.3083355,38911,0.9297000169754028
1713166309.933413,39423,0.9301999807357788
1713166428.1705756,39935,0.9312000274658203
1713166538.2211444,40447,0.9315999746322632
1713166647.9268618,40959,0.9329000115394592
1713166757.9001646,41471,0.9329000115394592
1713166867.6162686,41983,0.9329000115394592
1713166977.6227505,42495,0.9344000220298767
1713167087.4052863,43007,0.9344000220298767
1713167197.4027643,43519,0.9348000288009644
1713167308.119853,44031,0.9348000288009644
1713167421.0086064,44543,0.9350000023841858
