Wall time,Step,Value
1713156758.1707077,511,0.2633790373802185
1713156868.7899382,1023,0.4293324053287506
1713156982.515267,1535,0.5605058073997498
1713157096.063756,2047,0.6594648957252502
1713157206.7355936,2559,0.7326661348342896
1713157318.642321,3071,0.7864789366722107
1713157433.1907744,3583,0.8255115151405334
1713157548.6341348,4095,0.8533502221107483
1713157666.4698014,4607,0.8732706308364868
1713158363.309039,4607,0.8733041882514954
1713158475.2435982,5119,0.888801097869873
1713158591.8719988,5631,0.8993977308273315
1713158710.1161053,6143,0.907015323638916
1713158828.249143,6655,0.9133579134941101
1713158947.5625088,7167,0.9179366230964661
1713159065.5884476,7679,0.9203124046325684
1713159177.4670951,8191,0.9237948060035706
1713159287.6469963,8703,0.9256051778793335
1713159397.9706259,9215,0.9282912015914917
1713159508.2087605,9727,0.9308112263679504
1713159619.5735617,10239,0.930719256401062
1713159730.1004636,10751,0.9322581887245178
1713159840.2280788,11263,0.9339788556098938
1713159950.1591537,11775,0.9353737831115723
1713160060.0240552,12287,0.936467707157135
1713160170.2483451,12799,0.9373958110809326
1713160280.5130389,13311,0.9384984970092773
1713160392.0229387,13823,0.9400292038917542
1713160510.242502,14335,0.9409846067428589
1713160628.5863407,14847,0.9403564929962158
1713160746.1698453,15359,0.941936194896698
1713160864.679779,15871,0.9420982599258423
1713160982.8715148,16383,0.9435163140296936
1713161101.2162347,16895,0.9438623189926147
1713161219.239513,17407,0.9462258219718933
1713161337.5898607,17919,0.944471001625061
1713161454.4984345,18431,0.9457106590270996
1713161566.9133599,18943,0.9475976228713989
1713161677.8081508,19455,0.9481887817382812
1713161788.0336566,19967,0.9486815333366394
1713161898.3863835,20479,0.9476375579833984
1713162010.1487386,20991,0.949020504951477
1713162120.4458826,21503,0.9493236541748047
1713162231.1947355,22015,0.9498128890991211
1713162341.395509,22527,0.9509524703025818
1713162451.6800737,23039,0.9506528377532959
1713162562.2133312,23551,0.9518898725509644
1713162672.711239,24063,0.9527089595794678
1713162783.2489505,24575,0.9525517225265503
1713162900.1121504,25087,0.9535793662071228
1713163012.3978786,25599,0.9540386199951172
1713163123.1458554,26111,0.9532084465026855
1713163237.8963118,26623,0.9546695351600647
1713163351.045656,27135,0.9524539113044739
1713163469.2433777,27647,0.9538509249687195
1713163584.8555534,28159,0.9545466303825378
1713163697.7947493,28671,0.9559107422828674
1713163809.3320699,29183,0.956493079662323
1713163920.080565,29695,0.9572561383247375
1713164030.66503,30207,0.9561973810195923
1713164141.0137367,30719,0.957051694393158
1713164256.184818,31231,0.957054853439331
1713164441.6421678,31231,0.9570524096488953
1713164552.415009,31743,0.9603716731071472
1713164663.0485878,32255,0.9631270170211792
1713164779.6475308,32767,0.9651743769645691
1713164897.9789298,33279,0.9666820168495178
1713165016.465952,33791,0.9676055312156677
1713165134.4178472,34303,0.9684159755706787
1713165252.0331151,34815,0.9690732359886169
1713165369.5780618,35327,0.9694969654083252
1713165487.151867,35839,0.9701672792434692
1713165604.7611787,36351,0.9705400466918945
1713165722.2549756,36863,0.9708455801010132
1713165839.758109,37375,0.9712189435958862
1713165957.1586025,37887,0.9716874957084656
1713166074.8298297,38399,0.972227931022644
1713166192.2983432,38911,0.9724629521369934
1713166309.933413,39423,0.9728741645812988
1713166428.1695738,39935,0.9732233881950378
1713166538.216899,40447,0.9737760424613953
1713166647.9245925,40959,0.9742763638496399
1713166757.8991592,41471,0.9746114611625671
1713166867.6147654,41983,0.9752533435821533
1713166977.616234,42495,0.9757763743400574
1713167087.4052863,43007,0.9761991500854492
1713167197.4027643,43519,0.9767356514930725
1713167308.1178524,44031,0.9773591160774231
1713167421.0086064,44543,0.9776569604873657
